"Sector","Grupo","Sendero","Distancia (m)","Parcela","Árbol","Especie","DAP (cm)","HT (m)","HC (m)","LD"," AB (m2)"
"II","4","13","20","2","4","Roble","14.2","10.69","5.51","0","0.015836769"
"II","4","13","20","2","5","Roble","12.1","12.19","7.21","1","0.011499015"
"II","4","13","20","2","6","Roble","12","11.14","4.82","0","0.011309734"
"II","4","13","20","2","7","Roble","26.9","12.01","4.21","0","0.056832197"
"II","4","13","20","2","8","Roble","6.4","9.01","2.53","0","0.003216991"
"II","4","13","20","2","9","Roble","10.4","10.48","7.31","0","0.008494867"
"II","4","13","20","2","10","Roble","6.8","9.08","4.39","0","0.003631681"
"II","4","13","20","2","11","Roble","5.6","8.02","3.73","0","0.002463009"
"II","4","13","20","2","12","Roble","5.1","3.24","2.77","0","0.002042821"
"II","4","13","20","2","13","Roble","12.8","11.22","5.76","0","0.012867964"
"II","4","13","20","2","14","Roble","11.2","9.34","1","0","0.009852035"
"II","4","13","20","2","15","Roble","11.2","10.23","5.99","0","0.009852035"
"II","4","13","20","2","16","Roble","12.4","10.66","6.93","0","0.012076282"
"II","4","13","20","2","17","Roble","8.6","10.74","5.58","0","0.005808805"
"II","4","13","20","2","18","Roble","11.6","10.76","7.67","0","0.010568318"
"II","4","13","30","3","1","Roble","6","9.49","4.21","0","0.002827433"
"II","4","13","30","3","2","Roble","10.2","10.28","7.49","0","0.008171282"
"II","4","13","30","3","3","Roble","6.9","6.75","2.48","0","0.003739281"
"II","4","13","30","3","4","Roble","19.8","13.56","2.86","0","0.03079075"
"II","4","13","30","3","5","Roble","5.4","12.29","8.87","0","0.002290221"
"II","4","13","30","3","6","Roble","20","10.6172","3.93","1","0.031415927"
"II","4","13","30","3","7","Roble","5.5","8.1026","3.81","0","0.002375829"
"II","4","13","30","3","8","Roble","7.4","9.779","5.05","0","0.00430084"
"II","4","13","30","3","9","Roble","10.4","7.3914","4.97","0","0.008494867"
"II","4","13","40","4","1","Roble","20.9","10.7442","1.82","0","0.034306977"
"II","4","13","40","4","2","Roble","25.5","13.6398","5.99","0","0.051070516"
"II","4","13","40","4","3","Roble","5.4","9.1694","5.33","0","0.002290221"
"II","4","13","40","4","4","Roble","6.8","10.7696","6.09","0","0.003631681"
"II","4","13","40","4","5","Roble","11.6","9.49","2.92","0","0.010568318"
"II","4","13","40","4","6","Roble","11.8","11.811","6.57","1","0.010935884"
"II","4","13","40","4","7","Roble","10.4","10.668","7.18","0","0.008494867"
"II","4","13","40","4","8","Roble","6.3","8.3058","2.81","0","0.003117245"
"II","4","13","40","4","9","Roble","13.8","11.9888","7.54","0","0.014957123"
"II","4","13","40","4","10","Roble","5.6","3.9624","2.56","0","0.002463009"
"II","4","13","40","4","11","Roble","8.6","8.0518","6.5","0","0.005808805"
"II","4","13","40","4","12","Roble","14.6","6.7564","3.22","0","0.016741547"
"II","4","13","40","4","13","Cachito","20","9.4234","","0","0.031415927"
"II","4","13","50","5","1","Roble","8.6","7.9502","3.68","0","0.005808805"
"II","4","13","50","5","2","Roble","10.1","6.4008","2.54","0","0.008011847"
"II","4","13","50","5","3","Roble","42.8","10.79","4.11","0","0.143872377"
"II","4","13","50","5","4","Roble","26.3","10.05","1.8","0","0.054325206"
"II","4","13","50","5","5","Roble","6.5","7.49","2.15","0","0.003318307"
"II","4","13","50","5","6","Roble","7.5","12.25","6.98","0","0.004417865"
"II","4","13","50","5","7","Roble","39.3","13.89","4.51","0","0.121303961"
"II","5","15","400","1","1","Pichota","8.4","5.22","","0","0.005541769"
"II","5","15","400","1","2","Carbón","11","6.92","","0","0.009503318"
"II","5","15","400","1","3","Carbón","8.5","5.06","","0","0.005674502"
"II","5","15","400","1","4","Mozotillo","6.1","4.29","","0","0.002922467"
"II","5","15","400","1","5","Carbón","8.5","4.61","","0","0.005674502"
"II","5","15","400","1","6","Pichota","11.8","4.14","","0","0.010935884"
"II","5","15","400","1","7","Carbón","5.9","4.26","","0","0.002733971"
"II","5","15","400","1","8","Carbón","7.5","4.23","","0","0.004417865"
"II","5","15","400","1","9","Carbón","10.1","3.56","","0","0.008011847"
"II","5","15","400","1","10","Mozotillo","10","7.24","","0","0.007853982"
"II","5","15","410","2","1","Mozotillo","11.4","6","","0","0.010207035"
"II","5","15","410","2","2","Mozotillo","9","8.1","","0","0.006361725"
"II","5","15","410","2","3","Mozotillo","6.1","3.08","","0","0.002922467"
"II","5","15","410","2","4","Quiebra muelas","11.2","8.93","","0","0.009852035"
"II","5","15","410","2","5","Pichota","10","8.1","","0","0.007853982"
"II","5","15","410","2","6","Mozotillo","8.5","7.07","","0","0.005674502"
"II","5","15","410","2","7","Mozotillo","8","7.68","","0","0.005026548"
"II","5","15","410","2","8","Encino","40.1","12.19","5.39","1","0.12629281"
"II","5","15","410","2","9","Mozotillo","9","7.3","","0","0.006361725"
"II","5","15","420","3","1","Mozotillo","8.8","6.09","","0","0.006082123"
"II","5","15","420","3","2","Encino","26","11.28","5.38","1","0.053092916"
"II","5","15","420","3","3","Encino","11.9","8.7","6.13","0","0.011122023"
"II","5","15","420","3","4","Palo golpe","8.7","5.06","","0","0.005944679"
"II","5","15","420","3","5","Encino","20","12.2","4.64","0","0.031415927"
"II","5","15","420","3","6","Encino","11","7.06","5.2","0","0.009503318"
"II","5","15","420","3","7","Encino","22.3","10.59","6.7","0","0.039057065"
"II","5","15","420","3","8","Encino","32.6","8.61","2.89","0","0.083468975"
"II","5","15","430","4","1","Encino","25","12.093","2.74","1","0.049087385"
"II","5","15","430","4","2","Nance","6.9","3.59","","0","0.003739281"
"II","5","15","430","4","3","Encino","16.9","9.69","4.26","0","0.022431757"
"II","5","15","430","4","4","Encino","19.4","10.89","6.42","0","0.029559245"
"II","5","15","440","5","1","Encino","14","7","3.5","0","0.015393804"
"II","5","15","440","5","2","Encino","18.9","9.93","5.23","0","0.028055208"
"II","5","15","440","5","3","Guayabilla","6.3","8.7","","0","0.003117245"
"II","5","15","440","5","4","Molinillo","5.9","6.6","","0","0.002733971"
"II","5","15","440","5","5","Encino","29.7","7.5","1.82","1","0.069279187"
"II","5","15","440","5","6","Encino","13","6.6","5.48","0","0.013273229"
"II","5","15","440","5","7","Encino","8.8","5.53","3.68","0","0.006082123"
"II","6","17","40","1","1","Pichota","9.5","7.4","","0","0.007088218"
"II","6","17","40","1","2","Encino","17.5","6.8","2.5","0","0.024052819"
"II","6","17","40","1","3","Encino","13.9","4","1.2","0","0.015174678"
"II","6","17","40","1","4","Encino","25.4","8.7","4.9","0","0.050670748"
"II","6","17","40","1","5","Encino","14.6","4.4","1.8","0","0.016741547"
"II","6","17","40","1","6","Quiebra muelas","8.5","4.8","","0","0.005674502"
"II","6","17","40","1","7","Quiebra muelas","5.3","4.1","","0","0.002206183"
"II","6","17","40","1","8","Macuelizo","8.8","5.9","","0","0.006082123"
"II","6","17","40","1","9","Macuelizo","6.8","3.1","","0","0.003631681"
"II","6","17","40","1","10","Encino","9.5","3.4","2.3","0","0.007088218"
"II","6","17","40","1","11","Quiebra muelas","5.5","5","","0","0.002375829"
"II","6","17","40","1","12","Mozotillo","5.5","4.1","","0","0.002375829"
"II","6","17","50","2","1","Mozotillo","5.5","4.9","","0","0.002375829"
"II","6","17","50","2","2","Encino","23.3","6.7","2.1","0","0.042638481"
"II","6","17","50","2","3","Encino","12.7","6.8","3.8","0","0.012667687"
"II","6","17","50","2","4","Mozotillo","6.3","5.2","","0","0.003117245"
"II","6","17","50","2","5","Pichota","8","5.8","","0","0.005026548"
